round,registry,municipality,uf,municipality_code,neighborhood,sector_code,interviews,region,ibge_population_2022,validation
junho/2026,BR-07661/2026,Abadia de Goiás,GO,5200050,Parque Izabel,520005005000022,6,Centro-Oeste,869,population_api
junho/2026,BR-07661/2026,Abadia de Goiás,GO,5200050,Vila Dourada,520005005000041,6,Centro-Oeste,1080,population_api
junho/2026,BR-07661/2026,Alpestre,RS,4300505,Centro,430050505000002,6,Sul,785,population_api
junho/2026,BR-07661/2026,Alpestre,RS,4300505,Centro,430050505000015,6,Sul,422,population_api
junho/2026,BR-07661/2026,Alpestre,RS,4300505,Farinhas,430050510000004,6,Sul,512,population_api
junho/2026,BR-07661/2026,Alvorada,RS,4300604,Intersul,430060405040012,6,Sul,566,population_api
junho/2026,BR-07661/2026,Alvorada,RS,4300604,Aparecida,430060405060029,6,Sul,379,population_api
junho/2026,BR-07661/2026,Alvorada,RS,4300604,Umbu,430060410100004,6,Sul,1062,population_api
junho/2026,BR-07661/2026,Anápolis,GO,5201108,Village Jardim,520110805000134,6,Centro-Oeste,798,population_api
junho/2026,BR-07661/2026,Anápolis,GO,5201108,Parque Residencial Das Flores,520110805000456,6,Centro-Oeste,946,population_api
junho/2026,BR-07661/2026,Aparecida d'Oeste,SP,3502606,Centro,350260605000004,6,Sudeste,530,population_api
junho/2026,BR-07661/2026,Aparecida d'Oeste,SP,3502606,Centro,350260605000025,6,Sudeste,292,population_api
junho/2026,BR-07661/2026,Araraquara,SP,3503208,Jardim Arco Iris,350320805000099,6,Sudeste,790,population_api
junho/2026,BR-07661/2026,Araraquara,SP,3503208,Jardim Aclimacao,350320805000330,6,Sudeste,629,population_api
junho/2026,BR-07661/2026,Araraquara,SP,3503208,Vila Xavier,350320825000010,6,Sudeste,696,population_api
junho/2026,BR-07661/2026,Aratuípe,BA,2902302,Aratuipe,290230205000002,6,Nordeste,634,population_api
junho/2026,BR-07661/2026,Aratuípe,BA,2902302,Aratuipe,290230205000014,6,Nordeste,537,population_api
junho/2026,BR-07661/2026,Araçatuba,SP,3502804,Ipanema,350280405000260,6,Sudeste,689,population_api
junho/2026,BR-07661/2026,Araçatuba,SP,3502804,Sao Jose,350280405000589,6,Sudeste,665,population_api
junho/2026,BR-07661/2026,Barcarena,PA,1501303,Nazare,150130305000059,6,Norte,1388,population_api
junho/2026,BR-07661/2026,Barcarena,PA,1501303,Barcarena,150130305000199,6,Norte,1382,population_api
junho/2026,BR-07661/2026,Barcarena,PA,1501303,Itupanema,150130310000089,6,Norte,657,population_api
junho/2026,BR-07661/2026,Barra da Estiva,BA,2902807,Freitas,290280705000021,6,Nordeste,520,population_api
junho/2026,BR-07661/2026,Barra da Estiva,BA,2902807,Zona Rural,290280710000026,6,Nordeste,286,population_api
junho/2026,BR-07661/2026,Belford Roxo,RJ,3300456,Piam,330045605010153,6,Sudeste,675,population_api
junho/2026,BR-07661/2026,Belford Roxo,RJ,3300456,Santa Tereza,330045605040020,6,Sudeste,789,population_api
junho/2026,BR-07661/2026,Belo Horizonte,MG,3106200,Maria Virgínia,310620005640141,6,Sudeste,745,population_api
junho/2026,BR-07661/2026,Belo Horizonte,MG,3106200,Caicaras,310620005650588,6,Sudeste,571,population_api
junho/2026,BR-07661/2026,Belo Horizonte,MG,3106200,Araguaia,310620025610252,6,Sudeste,809,population_api
junho/2026,BR-07661/2026,Belo Horizonte,MG,3106200,Jardim Felicidade,310620060660017,6,Sudeste,809,population_api
junho/2026,BR-07661/2026,Belo Horizonte,MG,3106200,Parque Sao Pedro,310620060690457,6,Sudeste,393,population_api
junho/2026,BR-07661/2026,Belém,PA,1501402,Jardim Sideral,150140245000114,6,Norte,600,population_api
junho/2026,BR-07661/2026,Belém,PA,1501402,Guama,150140255000174,6,Norte,891,population_api
junho/2026,BR-07661/2026,Belém,PA,1501402,Ilha Do Combu,150140267000121,6,Norte,352,population_api
junho/2026,BR-07661/2026,Boa Viagem,CE,2302404,Bairro De Fatima,230240405000013,6,Nordeste,673,population_api
junho/2026,BR-07661/2026,Boa Viagem,CE,2302404,Ponte Nova,230240405000062,6,Nordeste,1110,population_api
junho/2026,BR-07661/2026,Boa Viagem,CE,2302404,Cipoal,230240410000020,6,Nordeste,317,population_api
junho/2026,BR-07661/2026,Bom Jardim,PE,2602209,Sitio Manibu,260220910000012,6,Nordeste,569,population_api
junho/2026,BR-07661/2026,Bom Jardim,PE,2602209,Umari,260220920000017,6,Nordeste,675,population_api
junho/2026,BR-07661/2026,Bom Jesus,RN,2401701,Caixa Dagua,240170105000003,6,Nordeste,979,population_api
junho/2026,BR-07661/2026,Bom Jesus,RN,2401701,Almir Freire,240170105000013,6,Nordeste,639,population_api
junho/2026,BR-07661/2026,Bom Jesus,RN,2401701,Comunidade Quilombola Sitio Grossos,240170105000018,6,Nordeste,550,population_api
junho/2026,BR-07661/2026,Bonito,PA,1501600,Centro,150160005000014,6,Norte,691,population_api
junho/2026,BR-07661/2026,Bonito,PA,1501600,Cesarlandia,150160005000031,6,Norte,891,population_api
junho/2026,BR-07661/2026,Brasília,DF,5300108,Planaltina,530010805110208,6,Centro-Oeste,464,population_api
junho/2026,BR-07661/2026,Brasília,DF,5300108,Riacho Fundo i,530010805130079,6,Centro-Oeste,294,population_api
junho/2026,BR-07661/2026,Brasília,DF,5300108,Recanto Das Emas,530010805200043,6,Centro-Oeste,1028,population_api
junho/2026,BR-07661/2026,Brasília,DF,5300108,Vicente Pires Trecho 3,530010805370048,6,Centro-Oeste,550,population_api
junho/2026,BR-07661/2026,Brasília,DF,5300108,Itapoa,530010805380043,6,Centro-Oeste,1077,population_api
junho/2026,BR-07661/2026,Buriti dos Lopes,PI,2202000,Centro,220200005000004,6,Nordeste,1181,population_api
