id,instituto,campo_fim,grupo,componentes,publicado,reponderado
quaest_2026-08-13,Quaest,2026-08-13,outros_esquerda_nanicos,edmilson;grassi;hertz;rui;samara,1.0,1.0
datafolha_2026-08-19,Datafolha,2026-08-19,outros_centro_direita,caiado;clariana;cury;renan_santos;zema,14.0,15.044
datafolha_2026-08-19,Datafolha,2026-08-19,outros_esquerda_nanicos,edmilson;grassi;hertz;rui;samara,4.0,3.626
quaest_2026-09-01,Quaest,2026-09-01,outros_centro_direita,caiado;clariana;cury;renan_santos;zema,15.0,14.831
quaest_2026-09-01,Quaest,2026-09-01,outros_esquerda_nanicos,edmilson;grassi;hertz;rui;samara,1.0,1.0
datafolha_2026-09-02,Datafolha,2026-09-02,outros_centro_direita,caiado;clariana;cury;renan_santos;zema,17.0,18.401
datafolha_2026-09-02,Datafolha,2026-09-02,outros_esquerda_nanicos,edmilson;grassi;hertz;rui;samara,3.0,2.565
datafolha_2026-09-10,Datafolha,2026-09-10,outros_centro_direita,caiado;clariana;cury;renan_santos;zema,16.0,16.829
datafolha_2026-09-10,Datafolha,2026-09-10,outros_esquerda_nanicos,edmilson;grassi;hertz;rui;samara,3.0,2.6
datafolha_2026-09-17,Datafolha,2026-09-17,outros_centro_direita,caiado;clariana;cury;renan_santos;zema,15.0,16.699
datafolha_2026-09-17,Datafolha,2026-09-17,outros_esquerda_nanicos,edmilson;grassi;hertz;rui;samara,2.0,1.666
poderdata_2026-09-23,PoderData,2026-09-23,outros_centro_direita,avalanche;caiado;clariana;cury;renan_santos;zema,13.0,13.012
poderdata_2026-09-23,PoderData,2026-09-23,outros_esquerda_nanicos,edmilson;grassi;hertz;rui;samara,2.0,1.937
