round,registry,municipality,uf,municipality_code,neighborhood,sector_code,interviews,region
14/09,BR-03607/2026,Borba,AM,1300805,Centro,130080505000003,6,Norte
14/09,BR-03607/2026,Borba,AM,1300805,Uniao Da Vitoria,130080505000091,6,Norte
14/09,BR-03607/2026,Borba,AM,1300805,Recreio,130080505000107,6,Norte
14/09,BR-03607/2026,Brasília,DF,5300108,Gama,530010805070055,6,Centro-Oeste
14/09,BR-03607/2026,Brasília,DF,5300108,Planaltina,530010805110149,6,Centro-Oeste
14/09,BR-03607/2026,Brasília,DF,5300108,Ceilândia,530010805150294,6,Centro-Oeste
14/09,BR-03607/2026,Brasília,DF,5300108,Santa Maria,530010805250158,6,Centro-Oeste
14/09,BR-03607/2026,Brasília,DF,5300108,Itapoã,530010805380019,6,Centro-Oeste
14/09,BR-03607/2026,Cabo de Santo Agostinho,PE,2602902,Malaquias,260290205000021,6,Nordeste
14/09,BR-03607/2026,Cabo de Santo Agostinho,PE,2602902,Cohab,260290205000239,6,Nordeste
14/09,BR-03607/2026,Cabo de Santo Agostinho,PE,2602902,Engenho Ilha,260290215000071,6,Nordeste
14/09,BR-03607/2026,Cachoeira,BA,2904902,Tororo,290490205000040,6,Nordeste
14/09,BR-03607/2026,Cachoeira,BA,2904902,Comunidade Quilombola Acutinga,290490215000020,6,Nordeste
14/09,BR-03607/2026,Cachoeirinha,PE,2603108,Zona Rural,260310805000019,6,Nordeste
14/09,BR-03607/2026,Cachoeirinha,PE,2603108,Centro,260310805000037,6,Nordeste
14/09,BR-03607/2026,Cachoeirinha,PE,2603108,Cabanas,260310810000005,6,Nordeste
14/09,BR-03607/2026,Campinas,SP,3509502,Chacara Primavera,350950205000816,6,Sudeste
14/09,BR-03607/2026,Campinas,SP,3509502,Jardim Mirassol,350950220000050,6,Sudeste
14/09,BR-03607/2026,Campo Limpo Paulista,SP,3509601,Ville Saint James,350960105000143,6,Sudeste
14/09,BR-03607/2026,Campo Limpo Paulista,SP,3509601,Jardim Santa Maria,350960105000312,6,Sudeste
14/09,BR-03607/2026,Canaã dos Carajás,PA,1502152,Residencial Canaa,150215205000055,6,Norte
14/09,BR-03607/2026,Canaã dos Carajás,PA,1502152,Novo Horizonte,150215205000107,6,Norte
14/09,BR-03607/2026,Canaã dos Carajás,PA,1502152,Alto Bonito,150215205000157,6,Norte
14/09,BR-03607/2026,Canindé,CE,2302800,Palestina,230280005000011,6,Nordeste
14/09,BR-03607/2026,Canindé,CE,2302800,Palestina,230280005000070,6,Nordeste
14/09,BR-03607/2026,Canindé,CE,2302800,Zona Rural,230280011000004,6,Nordeste
14/09,BR-03607/2026,Caucaia,CE,2303709,Cabatan,230370905000176,6,Nordeste
14/09,BR-03607/2026,Caucaia,CE,2303709,Zona Rural,230370910000003,6,Nordeste
14/09,BR-03607/2026,Caucaia,CE,2303709,Nova Metrópole,230370917000189,6,Nordeste
14/09,BR-03607/2026,Colina,SP,3512001,Cohab 3,351200105000006,6,Sudeste
14/09,BR-03607/2026,Colina,SP,3512001,Vila Hipica,351200105000035,6,Sudeste
14/09,BR-03607/2026,Colombo,PR,4105805,Guaraituba,410580505000074,6,Sul
14/09,BR-03607/2026,Colombo,PR,4105805,São Gabriel,410580505000301,6,Sul
14/09,BR-03607/2026,Condado,PE,2604601,Centro,260460105000012,6,Nordeste
14/09,BR-03607/2026,Condado,PE,2604601,Centro,260460105000034,6,Nordeste
14/09,BR-03607/2026,Condado,PE,2604601,Centro,260460105000047,6,Nordeste
14/09,BR-03607/2026,Curitiba,PR,4106902,Centro,410690205010369,6,Sul
14/09,BR-03607/2026,Curitiba,PR,4106902,Pilarzinho,410690205040248,6,Sul
14/09,BR-03607/2026,Curitiba,PR,4106902,Pinheirinho,410690205070489,6,Sul
14/09,BR-03607/2026,Diadema,SP,3513801,Eldorado,351380105000259,6,Sudeste
14/09,BR-03607/2026,Diadema,SP,3513801,Vila Nogueira,351380105000755,6,Sudeste
14/09,BR-03607/2026,Duque de Caxias,RJ,3301702,Vinte e Cinco De Agosto,330170205000594,6,Sudeste
14/09,BR-03607/2026,Duque de Caxias,RJ,3301702,Barro Branco,330170215000079,6,Sudeste
14/09,BR-03607/2026,Feira de Santana,BA,2910800,Mangabeira,291080005060120,6,Nordeste
14/09,BR-03607/2026,Feira de Santana,BA,2910800,Muchila,291080005080292,6,Nordeste
14/09,BR-03607/2026,Floresta,PR,4107900,Jardim Caxias,410790005000010,6,Sul
14/09,BR-03607/2026,Floresta,PR,4107900,Jardim Monaco,410790005000023,6,Sul
14/09,BR-03607/2026,Floresta,PR,4107900,Jardim Araucaria 2,410790005000026,6,Sul
14/09,BR-03607/2026,Florianópolis,SC,4205407,Saco Dos Limões,420540705000369,6,Sul
14/09,BR-03607/2026,Florianópolis,SC,4205407,Campeche Sul,420540712000066,6,Sul
14/09,BR-03607/2026,Florianópolis,SC,4205407,Rio Vermelho,420540750000023,6,Sul
14/09,BR-03607/2026,Fortaleza,CE,2304400,Presidente Kennedy,230440005160271,6,Nordeste
14/09,BR-03607/2026,Fortaleza,CE,2304400,Jardim Das Oliveiras,230440005200346,6,Nordeste
14/09,BR-03607/2026,Fortaleza,CE,2304400,Bonsucesso,230440005240171,6,Nordeste
14/09,BR-03607/2026,Goiânia,GO,5208707,U.t.p. Parque Amazônia,520870705150058,6,Centro-Oeste
14/09,BR-03607/2026,Goiânia,GO,5208707,U.t.p. Baliza-Itaipu,520870705350009,6,Centro-Oeste
14/09,BR-03607/2026,Goiânia,GO,5208707,U.t.p. Finsocial,520870705560063,6,Centro-Oeste
14/09,BR-03607/2026,Guarapuava,PR,4109401,Vila Carli,410940105000072,6,Sul
14/09,BR-03607/2026,Guarapuava,PR,4109401,Santana,410940105000119,6,Sul
14/09,BR-03607/2026,Guarapuava,PR,4109401,Zona Rural,410940105000133,6,Sul
14/09,BR-03607/2026,Guarujá,SP,3518701,Virgínia,351870105000140,6,Sudeste
14/09,BR-03607/2026,Guarujá,SP,3518701,Pae Cará,351870110000052,6,Sudeste
14/09,BR-03607/2026,Guarulhos,SP,3518800,Gopoúva,351880005000204,6,Sudeste
14/09,BR-03607/2026,Guarulhos,SP,3518800,Invernada,351880005001603,6,Sudeste
14/09,BR-03607/2026,Guaxupé,MG,3128709,Aroeira,312870905000027,6,Sudeste
14/09,BR-03607/2026,Guaxupé,MG,3128709,Parque Dos Municipios i,312870905000052,6,Sudeste
14/09,BR-03607/2026,Ibateguara,AL,2703007,Centro,270300705000003,6,Nordeste
14/09,BR-03607/2026,Ibateguara,AL,2703007,Centro,270300705000016,6,Nordeste
14/09,BR-03607/2026,Ibateguara,AL,2703007,Centro,270300705000024,6,Nordeste
14/09,BR-03607/2026,Ibirubá,RS,4310009,Jardim,431000905000016,6,Sul
14/09,BR-03607/2026,Ibirubá,RS,4310009,Centro,431000905000044,6,Sul
14/09,BR-03607/2026,Itaberaí,GO,5210406,Vila Leonor,521040605000001,6,Centro-Oeste
14/09,BR-03607/2026,Itaberaí,GO,5210406,Vila Leonor,521040605000020,6,Centro-Oeste
14/09,BR-03607/2026,Itaberaí,GO,5210406,Alto Da Boa Vista,521040605000049,6,Centro-Oeste
14/09,BR-03607/2026,Itapetininga,SP,3522307,Vila Nastri,352230705000142,6,Sudeste
14/09,BR-03607/2026,Itapetininga,SP,3522307,Vila Alves,352230705000159,6,Sudeste
14/09,BR-03607/2026,Itaquara,BA,2916708,Centro,291670805000004,6,Nordeste
14/09,BR-03607/2026,Itaquara,BA,2916708,Itaquara,291670805000010,6,Nordeste
14/09,BR-03607/2026,Jacutinga,RS,4310900,Centro,431090005000012,6,Sul
14/09,BR-03607/2026,Jacutinga,RS,4310900,Centro,431090005000021,6,Sul
14/09,BR-03607/2026,Jacutinga,RS,4310900,Linha Lageado Salto,431090005000023,6,Sul
14/09,BR-03607/2026,Jataí,GO,5211909,Colmeia Park,521190905000080,6,Centro-Oeste
14/09,BR-03607/2026,Jataí,GO,5211909,Conjunto Sebastiao Herculano De Souza,521190905000198,6,Centro-Oeste
14/09,BR-03607/2026,Jaú,SP,3525300,Vila Nova Jau,352530005000034,6,Sudeste
14/09,BR-03607/2026,Jaú,SP,3525300,Residencial Frei Galvao,352530005000210,6,Sudeste
14/09,BR-03607/2026,Juara,MT,5105101,Paranagua,510510105000017,6,Centro-Oeste
14/09,BR-03607/2026,Juara,MT,5105101,Juara,510510105000046,6,Centro-Oeste
14/09,BR-03607/2026,Juara,MT,5105101,Catuai,510510115000008,6,Centro-Oeste
14/09,BR-03607/2026,Jundiaí,SP,3525904,Colônia,352590405000731,6,Sudeste
14/09,BR-03607/2026,Jundiaí,SP,3525904,Água Doce,352590405001404,6,Sudeste
14/09,BR-03607/2026,Jussara,BA,2918506,Jussara,291850605000021,6,Nordeste
14/09,BR-03607/2026,Jussara,BA,2918506,Cruel,291850610000015,6,Nordeste
14/09,BR-03607/2026,Laguna,SC,4209409,Progresso,420940905000040,6,Sul
14/09,BR-03607/2026,Laguna,SC,4209409,Progresso,420940905000076,6,Sul
14/09,BR-03607/2026,Laguna,SC,4209409,Cigana,420940905000141,6,Sul
14/09,BR-03607/2026,Lençóis,BA,2919306,Lencois,291930605000004,6,Nordeste
14/09,BR-03607/2026,Lençóis,BA,2919306,Lavrado,291930605000021,6,Nordeste
14/09,BR-03607/2026,Louveira,SP,3527306,Terra Da Uva,352730605000044,6,Sudeste
14/09,BR-03607/2026,Louveira,SP,3527306,Santo Antonio,352730605000111,6,Sudeste
14/09,BR-03607/2026,Macaíba,RN,2407104,Alfredo Mesquita,240710405000020,6,Nordeste
14/09,BR-03607/2026,Macaíba,RN,2407104,Mangabeira Zona De Expansao Urbana,240710405000126,6,Nordeste
14/09,BR-03607/2026,Macaíba,RN,2407104,Auta De Souza,240710405000189,6,Nordeste
14/09,BR-03607/2026,Manaus,AM,1302603,São Jorge,130260305070131,6,Norte
14/09,BR-03607/2026,Manaus,AM,1302603,Parque 10 De Novembro,130260305110177,6,Norte
14/09,BR-03607/2026,Manaus,AM,1302603,Tarumã,130260305130008,6,Norte
14/09,BR-03607/2026,Maranguape,CE,2307700,Guabiraba,230770005000031,6,Nordeste
14/09,BR-03607/2026,Maranguape,CE,2307700,Outra Banda,230770005000139,6,Nordeste
14/09,BR-03607/2026,Maranguape,CE,2307700,Papara,230770032000002,6,Nordeste
14/09,BR-03607/2026,Maringá,PR,4115200,Zona 7,411520005070042,6,Sul
14/09,BR-03607/2026,Maringá,PR,4115200,Zona 28,411520005280007,6,Sul
14/09,BR-03607/2026,Maringá,PR,4115200,Zona 44,411520005440004,6,Sul
14/09,BR-03607/2026,Marília,SP,3529005,Palmital,352900505000087,6,Sudeste
14/09,BR-03607/2026,Marília,SP,3529005,Antonio Carlos Nascimento Da Silva,352900505000438,6,Sudeste
14/09,BR-03607/2026,Mata Grande,AL,2705002,Ouricuri,270500205000009,6,Nordeste
14/09,BR-03607/2026,Mata Grande,AL,2705002,Uniao,270500205000043,6,Nordeste
14/09,BR-03607/2026,Mata Grande,AL,2705002,Lamarao,270500205000074,6,Nordeste
14/09,BR-03607/2026,Matão,SP,3529302,Jardim Cambui,352930205000012,6,Sudeste
14/09,BR-03607/2026,Matão,SP,3529302,Nova Cidade,352930205000118,6,Sudeste
14/09,BR-03607/2026,Moju,PA,1504703,Aviacao,150470305000014,6,Norte
14/09,BR-03607/2026,Moju,PA,1504703,Vila Erasmo,150470305000177,6,Norte
14/09,BR-03607/2026,Moju,PA,1504703,Zona Rural,150470310000016,6,Norte
14/09,BR-03607/2026,Nanuque,MG,3144300,Feirinha,314430005000018,6,Sudeste
14/09,BR-03607/2026,Nanuque,MG,3144300,Vila Esperança,314430005000039,6,Sudeste
14/09,BR-03607/2026,Nanuque,MG,3144300,Nossa Senhora De Fátima,314430005000066,6,Sudeste
14/09,BR-03607/2026,Natal,RN,2408102,Redinha,240810205060374,6,Nordeste
14/09,BR-03607/2026,Natal,RN,2408102,Alecrim,240810205080115,6,Nordeste
14/09,BR-03607/2026,Natal,RN,2408102,Planalto,240810205090362,6,Nordeste
14/09,BR-03607/2026,Niterói,RJ,3303302,Fonseca,330330205000538,6,Sudeste
14/09,BR-03607/2026,Niterói,RJ,3303302,Jacaré,330330205001321,6,Sudeste
14/09,BR-03607/2026,Nova Iguaçu,RJ,3303500,Rancho Novo,330350005100144,6,Sudeste
14/09,BR-03607/2026,Nova Iguaçu,RJ,3303500,Marapicu,330350005160170,6,Sudeste
14/09,BR-03607/2026,Oeiras,PI,2207009,Zona Rural,220700905000038,6,Nordeste
14/09,BR-03607/2026,Oeiras,PI,2207009,Uberaba,220700905000094,6,Nordeste
14/09,BR-03607/2026,Oeiras,PI,2207009,Oeiras Nova,220700905000127,6,Nordeste
14/09,BR-03607/2026,Orleans,SC,4211702,Barra Do Rio Novo,421170205000035,6,Sul
14/09,BR-03607/2026,Orleans,SC,4211702,Lomba,421170205000106,6,Sul
14/09,BR-03607/2026,Orleans,SC,4211702,Rio Belo,421170205000136,6,Sul
14/09,BR-03607/2026,Osasco,SP,3534401,Munhoz Júnior,353440105000460,6,Sudeste
14/09,BR-03607/2026,Osasco,SP,3534401,Ayrosa,353440105001383,6,Sudeste
14/09,BR-03607/2026,Ouricuri,PE,2609907,Sitio Chapada Do Tamboril,260990705000045,6,Nordeste
14/09,BR-03607/2026,Ouricuri,PE,2609907,Chapadinha,260990705000102,6,Nordeste
14/09,BR-03607/2026,Ouricuri,PE,2609907,Estrada Para Trindade,260990710000023,6,Nordeste
14/09,BR-03607/2026,Ourinhos,SP,3534708,Parque Minas Gerais,353470805000237,6,Sudeste
14/09,BR-03607/2026,Ourinhos,SP,3534708,Jardim Itajubi,353470805000399,6,Sudeste
14/09,BR-03607/2026,Patos,PB,2510808,Liberdade,251080805000033,6,Nordeste
14/09,BR-03607/2026,Patos,PB,2510808,Santo Antônio,251080805000118,6,Nordeste
14/09,BR-03607/2026,Patos,PB,2510808,Machado,251080805000196,6,Nordeste
14/09,BR-03607/2026,Piranhas,AL,2707107,Xingo,270710705000007,6,Nordeste
14/09,BR-03607/2026,Piranhas,AL,2707107,Boa Vista,270710705000018,6,Nordeste
14/09,BR-03607/2026,Piranhas,AL,2707107,Piau,270710710000017,6,Nordeste
14/09,BR-03607/2026,Planaltina,GO,5217609,Setor Sul,521760905000043,6,Centro-Oeste
14/09,BR-03607/2026,Planaltina,GO,5217609,Setor Sul,521760905000136,6,Centro-Oeste
14/09,BR-03607/2026,Porteirinha,MG,3152204,Aurora,315220405000017,6,Sudeste
14/09,BR-03607/2026,Porteirinha,MG,3152204,Renascenca,315220405000066,6,Sudeste
14/09,BR-03607/2026,Porteirinha,MG,3152204,Barreiro Dantas 1,315220416000003,6,Sudeste
14/09,BR-03607/2026,Porto Alegre,RS,4314902,Nonoai,431490205000798,6,Sul
14/09,BR-03607/2026,Porto Alegre,RS,4314902,Jardim Lindóia,431490205001786,6,Sul
14/09,BR-03607/2026,Porto Alegre,RS,4314902,Teresópolis,431490205002720,6,Sul
14/09,BR-03607/2026,Recife,PE,2611606,Boa Vista,261160605180089,6,Nordeste
14/09,BR-03607/2026,Recife,PE,2611606,Espinheiro,261160605200570,6,Nordeste
14/09,BR-03607/2026,Recife,PE,2611606,Jardim São Paulo,261160605220392,6,Nordeste
14/09,BR-03607/2026,Resende,RJ,3304201,Vila Julieta,330420105000055,6,Sudeste
14/09,BR-03607/2026,Resende,RJ,3304201,Morada Do Contorno,330420105000273,6,Sudeste
14/09,BR-03607/2026,Riachinho,MG,3154457,Centro,315445705000001,6,Sudeste
14/09,BR-03607/2026,Riachinho,MG,3154457,Zona Rural,315445705000015,6,Sudeste
14/09,BR-03607/2026,Riachinho,MG,3154457,Centro,315445705000026,6,Sudeste
14/09,BR-03607/2026,Rio Grande,RS,4315602,Unidade Censitária 06,431560205060012,6,Sul
14/09,BR-03607/2026,Rio Grande,RS,4315602,Unidade Censitária 18,431560205180002,6,Sul
14/09,BR-03607/2026,Rio Grande,RS,4315602,Unidade Censitária 34,431560205340033,6,Sul
14/09,BR-03607/2026,Rio Paranaíba,MG,3155504,Fazenda Salsa,315550405000018,6,Sudeste
14/09,BR-03607/2026,Rio Paranaíba,MG,3155504,Jardim Primavera,315550405000033,6,Sudeste
14/09,BR-03607/2026,Rio Piracicaba,MG,3155702,Centro,315570205000004,6,Sudeste
14/09,BR-03607/2026,Rio Piracicaba,MG,3155702,Corrego Sao Miguel,315570205000008,6,Sudeste
14/09,BR-03607/2026,Rio de Janeiro,RJ,3304557,Laranjeiras,330455705090367,6,Sudeste
14/09,BR-03607/2026,Rio de Janeiro,RJ,3304557,Tijuca,330455705130362,6,Sudeste
14/09,BR-03607/2026,Rio de Janeiro,RJ,3304557,Cavalcanti,330455705200072,6,Sudeste
14/09,BR-03607/2026,Rio de Janeiro,RJ,3304557,Freguesia (Jacarepaguá),330455705210999,6,Sudeste
14/09,BR-03607/2026,Rio de Janeiro,RJ,3304557,Vila Kennedy,330455705220255,6,Sudeste
14/09,BR-03607/2026,Rio de Janeiro,RJ,3304557,Cosmos,330455705230422,6,Sudeste
14/09,BR-03607/2026,Rio de Janeiro,RJ,3304557,Santa Cruz,330455705240130,6,Sudeste
14/09,BR-03607/2026,Rio de Janeiro,RJ,3304557,Barra Da Tijuca,330455705290603,6,Sudeste
14/09,BR-03607/2026,Rio de Janeiro,RJ,3304557,Itanhangá,330455705291077,6,Sudeste
14/09,BR-03607/2026,Rio de Janeiro,RJ,3304557,Barra Da Tijuca,330455705291127,6,Sudeste
14/09,BR-03607/2026,Rio de Janeiro,RJ,3304557,Realengo,330455705370300,6,Sudeste
14/09,BR-03607/2026,Rio de Janeiro,RJ,3304557,Parada De Lucas,330455705390246,6,Sudeste
14/09,BR-03607/2026,Rondonópolis,MT,5107602,Sao Francisco,510760205000198,6,Centro-Oeste
14/09,BR-03607/2026,Rondonópolis,MT,5107602,Carlos Bezerra 2,510760230000018,6,Centro-Oeste
14/09,BR-03607/2026,Sabará,MG,3156700,Sabara,315670005000051,6,Sudeste
14/09,BR-03607/2026,Sabará,MG,3156700,Itacolomi,315670010000114,6,Sudeste
14/09,BR-03607/2026,Salinas,MG,3157005,Raquel,315700505000017,6,Sudeste
14/09,BR-03607/2026,Salinas,MG,3157005,Progresso,315700505000050,6,Sudeste
14/09,BR-03607/2026,Salinas,MG,3157005,Centro,315700525000009,6,Sudeste
14/09,BR-03607/2026,Salvador,BA,2927408,Costa Azul,292740805060215,6,Nordeste
14/09,BR-03607/2026,Salvador,BA,2927408,Fazenda Coutos,292740805130120,6,Nordeste
14/09,BR-03607/2026,Salvador,BA,2927408,Nova Brasília,292740805180791,6,Nordeste
14/09,BR-03607/2026,Salvador,BA,2927408,Cabula Vi,292740805220791,6,Nordeste
14/09,BR-03607/2026,Santa Bárbara d'Oeste,SP,3545803,Jardim Residencial Mariana,354580305000292,6,Sudeste
14/09,BR-03607/2026,Santa Bárbara d'Oeste,SP,3545803,Jardim Europa 1,354580305000498,6,Sudeste
14/09,BR-03607/2026,Santa Cruz do Rio Pardo,SP,3546405,Jardim Eldorado,354640505000076,6,Sudeste
14/09,BR-03607/2026,Santa Cruz do Rio Pardo,SP,3546405,Conjunto Habitacional Nagib Queiroz,354640505000146,6,Sudeste
14/09,BR-03607/2026,Santana de Parnaíba,SP,3547304,Alphaville 9,354730405000012,6,Sudeste
14/09,BR-03607/2026,Santana de Parnaíba,SP,3547304,Bairro Poupanca,354730405000210,6,Sudeste
14/09,BR-03607/2026,Santana do Cariri,CE,2312106,Zona Rural,231210605000027,6,Nordeste
14/09,BR-03607/2026,Santana do Cariri,CE,2312106,Brejo Grande,231210620000001,6,Nordeste
14/09,BR-03607/2026,Santana do Cariri,CE,2312106,Palmeira,231210640000012,6,Nordeste
14/09,BR-03607/2026,Santo Antônio do Leverger,MT,5107800,Olho d Agua,510780005000008,6,Centro-Oeste
14/09,BR-03607/2026,Santo Antônio do Leverger,MT,5107800,Altos Do Leverger,510780005000025,6,Centro-Oeste
14/09,BR-03607/2026,Santo Antônio do Leverger,MT,5107800,Zona Rural,510780017000004,6,Centro-Oeste
14/09,BR-03607/2026,Santos,SP,3548500,Rádio Clube,354850005000598,6,Sudeste
14/09,BR-03607/2026,Santos,SP,3548500,Morro Caneleira,354850005001231,6,Sudeste
14/09,BR-03607/2026,Sapucaia do Sul,RS,4320008,Centro,432000805000001,6,Sul
14/09,BR-03607/2026,Sapucaia do Sul,RS,4320008,Cohab,432000805000105,6,Sul
14/09,BR-03607/2026,Sapucaia do Sul,RS,4320008,Vargas,432000805000204,6,Sul
14/09,BR-03607/2026,Schroeder,SC,4217402,Rio Hern,421740205000023,6,Sul
14/09,BR-03607/2026,Schroeder,SC,4217402,Itoupava Acu,421740205000042,6,Sul
14/09,BR-03607/2026,Schroeder,SC,4217402,Centro Sul,421740205000061,6,Sul
14/09,BR-03607/2026,Severínia,SP,3551900,Vila Santo Antonio,355190005000017,6,Sudeste
14/09,BR-03607/2026,Severínia,SP,3551900,Cdhu,355190005000038,6,Sudeste
14/09,BR-03607/2026,Sumaré,SP,3552403,Ar5 - Administração Regional Do Maria Antônia,355240315000016,6,Sudeste
14/09,BR-03607/2026,Sumaré,SP,3552403,Ar2 - Administração Regional De Nova Veneza,355240315000253,6,Sudeste
14/09,BR-03607/2026,São Caetano de Odivelas,PA,1507102,Pepeua,150710205000002,6,Norte
14/09,BR-03607/2026,São Caetano de Odivelas,PA,1507102,Cachoeira,150710205000018,6,Norte
14/09,BR-03607/2026,São Caetano de Odivelas,PA,1507102,Cachoeira,150710205000054,6,Norte
14/09,BR-03607/2026,São Caetano do Sul,SP,3548807,Oswaldo Cruz,354880705000064,6,Sudeste
14/09,BR-03607/2026,São Caetano do Sul,SP,3548807,Santa Maria,354880705000373,6,Sudeste
14/09,BR-03607/2026,São José dos Campos,SP,3549904,Setor Socioeconômico 17,354990405000236,6,Sudeste
14/09,BR-03607/2026,São José dos Campos,SP,3549904,Setor Socioeconômico 20,354990405001206,6,Sudeste
14/09,BR-03607/2026,São José dos Pinhais,PR,4125506,Pedro Moro,412550605000029,6,Sul
14/09,BR-03607/2026,São José dos Pinhais,PR,4125506,Parque Da Fonte,412550605000235,6,Sul
14/09,BR-03607/2026,São José dos Pinhais,PR,4125506,Rio Pequeno,412550605000434,6,Sul
14/09,BR-03607/2026,São Luís,MA,2111300,Centro,211130005000002,6,Nordeste
14/09,BR-03607/2026,São Luís,MA,2111300,Jardim Sao Cristovao Ii,211130005000591,6,Nordeste
14/09,BR-03607/2026,São Luís,MA,2111300,Vila Maranhao,211130005001301,6,Nordeste
14/09,BR-03607/2026,São Paulo,SP,3550308,Vila Continental,355030813000030,6,Sudeste
14/09,BR-03607/2026,São Paulo,SP,3550308,Jardim Paris,355030817000016,6,Sudeste
14/09,BR-03607/2026,São Paulo,SP,3550308,Cangaiba,355030818000122,6,Sudeste
14/09,BR-03607/2026,São Paulo,SP,3550308,Casa Verde Baixa,355030821000058,6,Sudeste
14/09,BR-03607/2026,São Paulo,SP,3550308,Jardim Colonial,355030823000040,6,Sudeste
14/09,BR-03607/2026,São Paulo,SP,3550308,Prestes Maia,355030825000403,6,Sudeste
14/09,BR-03607/2026,São Paulo,SP,3550308,Felicia,355030830000081,6,Sudeste
14/09,BR-03607/2026,São Paulo,SP,3550308,Conjunto Habitacional A. E. Carvalho,355030837000103,6,Sudeste
14/09,BR-03607/2026,São Paulo,SP,3550308,Jabaquara,355030838000802,6,Sudeste
14/09,BR-03607/2026,São Paulo,SP,3550308,Jardim Paulistano,355030842000640,6,Sudeste
14/09,BR-03607/2026,São Paulo,SP,3550308,Jardim Nakamura,355030843000790,6,Sudeste
14/09,BR-03607/2026,São Paulo,SP,3550308,Mooca,355030853000016,6,Sudeste
14/09,BR-03607/2026,São Paulo,SP,3550308,Penha,355030859000256,6,Sudeste
14/09,BR-03607/2026,São Paulo,SP,3550308,Piqueri,355030863000497,6,Sudeste
14/09,BR-03607/2026,São Paulo,SP,3550308,Santana,355030870000283,6,Sudeste
14/09,BR-03607/2026,São Paulo,SP,3550308,Alto Da Boa Vista,355030871000308,6,Sudeste
14/09,BR-03607/2026,São Paulo,SP,3550308,Jardim Colonial,355030873000075,6,Sudeste
14/09,BR-03607/2026,São Paulo,SP,3550308,Sao Paulo,355030882000217,6,Sudeste
14/09,BR-03607/2026,São Paulo,SP,3550308,Vila Curuca,355030884000147,6,Sudeste
14/09,BR-03607/2026,São Paulo,SP,3550308,Vila Formosa,355030885000039,6,Sudeste
14/09,BR-03607/2026,São Paulo,SP,3550308,Vila Alpina,355030893000045,6,Sudeste
14/09,BR-03607/2026,São Paulo,SP,3550308,Vila Sonia,355030894000308,6,Sudeste
14/09,BR-03607/2026,São Pedro da Aldeia,RJ,3305208,Morro Do Milagre,330520805070061,6,Sudeste
14/09,BR-03607/2026,São Pedro da Aldeia,RJ,3305208,Baixo Grande,330520805090129,6,Sudeste
14/09,BR-03607/2026,Tabuleiro,MG,3167905,Lajinha,316790505000002,6,Sudeste
14/09,BR-03607/2026,Tabuleiro,MG,3167905,Centro,316790505000012,6,Sudeste
14/09,BR-03607/2026,Tapes,RS,4321105,Centro,432110505000010,6,Sul
14/09,BR-03607/2026,Tapes,RS,4321105,Pinvest,432110505000024,6,Sul
14/09,BR-03607/2026,Teresina,PI,2211001,Cristo Rei,221100105060151,6,Nordeste
14/09,BR-03607/2026,Teresina,PI,2211001,Bom Jesus,221100105080132,6,Nordeste
14/09,BR-03607/2026,Teresina,PI,2211001,Morada Nova,221100105100064,6,Nordeste
14/09,BR-03607/2026,Timon,MA,2112209,São Francisco Ii,211220905000006,6,Nordeste
14/09,BR-03607/2026,Timon,MA,2112209,Zona Rural,211220905000100,6,Nordeste
14/09,BR-03607/2026,Timon,MA,2112209,Planalto Boa Esperança,211220905000233,6,Nordeste
14/09,BR-03607/2026,Tucano,BA,2931905,Caldas Do Jorro,293190505000043,6,Nordeste
14/09,BR-03607/2026,Tucano,BA,2931905,Centro,293190505000128,6,Nordeste
14/09,BR-03607/2026,Uberaba,MG,3170107,Amoroso Costa,317010705000439,6,Sudeste
14/09,BR-03607/2026,Uberaba,MG,3170107,Costa Teles,317010705000909,6,Sudeste
14/09,BR-03607/2026,Varginha,MG,3170701,Jardim Andere,317070105000015,6,Sudeste
14/09,BR-03607/2026,Varginha,MG,3170701,Rezende,317070105000190,6,Sudeste
14/09,BR-03607/2026,Varzedo,BA,2933174,Barro,293317405000012,6,Nordeste
14/09,BR-03607/2026,Varzedo,BA,2933174,Fazenda Rio Da Dona,293317425000007,6,Nordeste
14/09,BR-03607/2026,Venda Nova do Imigrante,ES,3205069,Vila Da Mata,320506905000005,6,Sudeste
14/09,BR-03607/2026,Venda Nova do Imigrante,ES,3205069,Vila Betanea,320506905000033,6,Sudeste
14/09,BR-03607/2026,Vespasiano,MG,3171204,Gavea Ii,317120405000158,6,Sudeste
14/09,BR-03607/2026,Vespasiano,MG,3171204,Nova Pampulha,317120405000370,6,Sudeste
14/09,BR-03607/2026,Videira,SC,4219309,Farroupilha,421930905000014,6,Sul
14/09,BR-03607/2026,Videira,SC,4219309,Universitário,421930905000059,6,Sul
14/09,BR-03607/2026,Videira,SC,4219309,Cetrevi,421930905000146,6,Sul
14/09,BR-03607/2026,Vila Velha,ES,3205200,Praia Da Costa,320520005060233,6,Sudeste
14/09,BR-03607/2026,Vila Velha,ES,3205200,Ataíde,320520015070043,6,Sudeste
14/09,BR-03607/2026,Vila Velha,ES,3205200,Riviera Da Barra,320520020100093,6,Sudeste
14/09,BR-03607/2026,Vinhedo,SP,3556701,Santa Claudina,355670105000053,6,Sudeste
14/09,BR-03607/2026,Vinhedo,SP,3556701,Capela,355670105000140,6,Sudeste
