2018_DEPUTADO ESTADUAL_1_total,2018_DEPUTADO FEDERAL_1_total,2018_GOVERNADOR_1_total,2018_GOVERNADOR_2_total,2018_PRESIDENTE_1_total,2018_PRESIDENTE_2_total,2018_SENADOR_1_total,2022_DEPUTADO ESTADUAL_1_total,2022_DEPUTADO FEDERAL_1_total,2022_GOVERNADOR_1_total,2022_GOVERNADOR_2_total,2022_PRESIDENTE_1_total,2022_PRESIDENTE_2_total,2022_SENADOR_1_total,carla_2018_1,carla_2022_1,diferenca_governo_presidente_pp,eduardo_2018_1,eduardo_2022_1,eleitorado,gil_2018_1,gil_2022_1,haddad_2022_1,haddad_2022_2,id,jair_2018_1,jair_2018_1_pct,jair_2018_2,jair_2018_2_pct,jair_2022_1,jair_2022_1_pct,jair_2022_2,jair_2022_2_pct,mario_2022_1,mudanca_jair_pp,nome,pib_2023,pib_pc_2023,populacao,pt_2018_1,pt_2018_2,pt_2022_1,pt_2022_2,regiao,renda,tarcisio_2022_1,tarcisio_2022_1_pct,tarcisio_2022_2,tarcisio_2022_2_pct,virada
7799,8293,8332,8815,9861,9614,14062,9495,10166,10182,10862,11251,11477,9340,18,230,1.5272296853279244,532,199,15141,56,68,3777,5011,3529708,4604,46.68897677720312,5545,57.676305387975866,5281,46.93804995111546,6007,52.33946153175917,14,-5.336843856216696,Miguelópolis,1113098239.0,57255.19,19441.0,2955,4069,5443,5470,Ribeirão Preto,1416.73,4145,40.709094480455704,5851,53.866691217087094,Jair → Jair
5104,5434,5475,5805,6358,6183,9509,5558,6077,5904,6295,6709,6734,5637,3,109,0.4487535305645025,443,126,8701,30,24,1399,1904,3529807,4057,63.809374016986474,5035,81.4329613456251,4214,62.81114920256372,4667,69.3050193050193,7,-12.127942040605802,Mineiros do Tietê,309941386.0,27599.41,11230.0,523,1148,1937,2067,Bauru,1304.7,3258,55.18292682926829,4391,69.7537728355838,Jair → Jair
8623,9300,9380,9420,10263,9859,16282,9616,10254,10262,10557,10985,10994,9801,8,99,1.0352646303806807,441,136,15335,121,30,2771,3918,3529906,5576,54.33109227321446,6585,66.79176387057511,6345,57.76058261265362,6800,61.851919228670184,6,-4.9398446419049264,Miracatu,560826527.0,30228.35,18553.0,1854,3274,3876,4194,Sorocaba,1125.4,5687,55.41804716429546,6639,62.887183859050864,Jair → Jair
1552,1665,1558,1631,1776,1679,2765,1768,1818,1869,1895,1986,1994,1744,1,75,1.3490339091152066,69,36,2894,7,2,510,825,3530003,983,55.3490990990991,1110,66.11078022632519,1021,51.40986908358509,1099,55.115346038114346,1,-10.995434188210844,Mira Estrela,77240190.0,24708.95,3126.0,454,569,843,895,São José do Rio Preto,1291.65,707,37.827715355805246,1070,56.46437994722955,Jair → Jair
10744,11002,11024,11792,12822,12734,17793,12080,12143,12244,13194,13580,13827,11612,65,484,1.6394938519987647,1622,325,18041,37,5,2996,3925,3530102,8766,68.3668694431446,10035,78.80477461912989,8615,63.43888070692194,9487,68.61213567657482,22,-10.192638942555064,Mirandópolis,978818314.0,34979.03,27983.0,1587,2699,4021,4340,Araçatuba,1683.93,7866,64.2437112054884,9269,70.25162952857359,Jair → Jair
7566,7854,8007,8066,8893,8521,13813,8361,8830,9152,9485,9612,9742,8428,5,125,0.9480041042015301,270,128,12737,61,29,4459,5486,3530201,3093,34.78016417406949,3947,46.32085435981692,3529,36.71452351227632,4015,41.21330322315746,3,-5.10755113665946,Mirante do Paranapanema,651108007.0,40906.45,15917.0,3776,4574,5551,5727,Presidente Prudente,1182.36,2636,28.802447552447553,3999,42.16130732735899,PT → PT
23145,25127,24739,27095,29237,28850,41602,28158,29389,30584,32269,33326,33970,28534,76,1911,0.8226150840311135,2273,1252,43741,242,225,7183,10065,3530300,18544,63.42648014502172,22447,77.8058925476603,20478,61.447518454059896,23095,67.98645863997645,218,-9.819433907683859,Mirassol,3345887627.0,52826.75,63337.0,2940,6403,9989,10875,São José do Rio Preto,2049.55,17106,55.93120585927282,22204,68.80907372400756,Jair → Jair
2129,2274,2276,2349,2580,2467,3958,2781,2908,3013,3018,3096,3136,2815,1,120,1.407583411098038,133,77,4134,10,13,430,1045,3530409,1456,56.434108527131784,1847,74.86826104580462,1790,57.81653746770026,2006,63.96683673469388,8,-10.901424311110738,Mirassolândia,378154379.0,80992.58,4669.0,342,620,1083,1130,São José do Rio Preto,1322.05,1002,33.255891138400266,1973,65.37442014579192,Jair → Jair
29656,29689,28185,30072,33412,32304,48909,29206,30922,31342,34206,36018,36968,29219,49,1453,0.03026949021258929,1216,717,49225,144,166,8412,12023,3530508,18743,56.09661199569017,24341,75.34980188211986,20952,58.17091454272864,23963,64.82092620644882,99,-10.528875675671046,Mococa,4014553266.0,59315.81,67681.0,2771,7963,11594,13005,Campinas,1693.15,16957,54.10312041350265,22183,64.8511956966614,Jair → Jair
179937,190203,190077,197608,220379,210320,326382,204855,221927,220689,230280,246956,245153,202833,578,5913,-0.6114452387640625,14946,6334,333820,2232,1761,74996,100841,3530607,116030,52.65020714314885,149953,71.29754659566375,117687,47.655047862777174,139298,56.820842494279084,837,-14.476704101384662,Mogi das Cruzes,26072522197.0,57745.81,451505.0,27495,60367,95769,105855,São Paulo,1851.39,90039,40.7990429971589,129439,56.20939725551502,Jair → Jair
