uf,municipio,codigo_tse,eleitores_2026,bolsonaro_1t,bolsonaro_2t,lula_1t,lula_2t,ciro_tebet_1t,ganho_bolsonaro,ganho_lula,ganho_liquido_direita,bolsonaro_2t_pct
SP,SÃO PAULO,71072,9135666,2618593,3191484,3276512,3677921,856721,572891,401409,171482,46.459
RJ,RIO DE JANEIRO,60011,4950545,1695777,1929209,1568485,1734159,294281,233432,165674,67758,52.662
MG,BELO HORIZONTE,41238,1961426,699105,834548,638002,703755,137201,135443,65753,69690,54.251
DF,BRASÍLIA,97012,2253236,910397,1041331,649534,729295,179685,130934,79761,51173,58.811
PR,CURITIBA,75353,1411068,612309,720322,348166,391675,123342,108013,43509,64504,64.777
CE,FORTALEZA,13897,1790488,530162,633009,802009,880559,161075,102847,78550,24297,41.822
BA,SALVADOR,38490,1951766,367452,451131,1022728,1089899,115207,83679,67171,16508,29.275
AM,MANAUS,2550,1472357,622846,692580,430562,437691,92476,69734,7129,62605,61.276
GO,GOIÂNIA,93734,1016176,445715,513018,262845,289172,74323,67303,26327,40976,63.952
SP,GUARULHOS,64777,948440,331178,391234,311756,337689,74334,60056,25933,34123,53.673
RS,PORTO ALEGRE,88013,1061504,323857,380499,412553,437798,77986,56642,25245,31397,46.499
PA,BELÉM,4278,1047380,370564,427051,392207,431858,84617,56487,39651,16836,49.72
SP,CAMPINAS,62910,870690,320684,368251,259973,286779,61944,47567,26806,20761,56.219
PE,RECIFE,25313,1228646,390904,433317,538562,558690,58409,42413,20128,22285,43.681
SP,SÃO BERNARDO DO CAMPO,70750,626754,185834,224929,240348,262223,54429,39095,21875,17220,46.172
SP,SANTO ANDRÉ,70572,573176,188805,225767,185501,207330,52480,36962,21829,15133,52.129
SP,OSASCO,67890,583521,181873,218756,201683,222285,49659,36883,20602,16281,49.6
MS,CAMPO GRANDE,90514,640453,278642,313906,176576,187109,48051,35264,10533,24731,62.654
SP,SÃO JOSÉ DOS CAMPOS,70998,539167,233683,267615,143732,159996,42644,33932,16264,17668,62.584
AL,MACEIÓ,27855,644063,240053,273549,195714,204887,41389,33496,9173,24323,57.176
MG,CONTAGEM,43710,463259,171682,202910,151516,162786,30463,31228,11270,19958,55.486
RJ,DUQUE DE CAXIAS,58335,635094,267993,299197,202089,213922,28720,31204,11833,19371,58.309
MG,UBERLÂNDIA,54038,538225,184744,215660,178074,190299,29651,30916,12225,18691,53.124
RN,NATAL,17612,570537,188942,219306,225529,246881,31824,30364,21352,9012,47.042
RJ,SÃO GONÇALO,58971,653501,246578,276870,208703,222694,31930,30292,13991,16301,55.422
PR,LONDRINA,76678,393996,196164,225349,74610,83923,29203,29185,9313,19872,72.864
SC,JOINVILLE,81795,441746,239105,268079,74282,81886,21509,28974,7604,21370,76.602
SP,SOROCABA,71455,529990,213183,242074,141106,154335,35445,28891,13229,15662,61.067
MA,SÃO LUÍS,9210,756289,210140,238285,345123,363131,49303,28145,18008,10137,39.621
RJ,NOVA IGUAÇU,58696,615394,263912,291907,164947,171677,27026,27995,6730,21265,62.967
SP,RIBEIRÃO PRETO,69698,471134,180226,206363,125555,139784,31433,26137,14229,11908,59.617
RS,CAXIAS DO SUL,85995,342378,155130,180592,85696,91262,24139,25462,5566,19896,66.43
PB,JOÃO PESSOA,20516,585308,203971,228326,217243,229251,33413,24355,12008,12347,49.899
SC,FLORIANÓPOLIS,81051,420439,146358,169495,135981,148344,29838,23137,12363,10774,53.327
PI,TERESINA,12190,592211,138320,160558,301309,317918,37996,22238,16609,5629,33.556
MT,CUIABÁ,90670,456034,192100,213787,127067,133852,23995,21687,6785,14902,61.497
SP,MOGI DAS CRUZES,67130,333820,117687,139298,95769,105855,28838,21611,10086,11525,56.821
SP,JUNDIAÍ,66192,337028,138594,160078,80401,91357,28535,21484,10956,10528,63.666
PR,PONTA GROSSA,77771,258088,109833,130481,63835,69975,20586,20648,6140,14508,65.092
GO,APARECIDA DE GOIÂNIA,92274,341039,128323,148793,100800,108022,20675,20470,7222,13248,57.938
PR,MARINGÁ,76910,301838,136721,157051,67534,74885,21391,20330,7351,12979,67.713
SC,BLUMENAU,80470,268260,139214,159256,47482,52292,16123,20042,4810,15232,75.281
SP,SÃO JOSÉ DO RIO PRETO,70971,343640,156389,176282,75320,83408,21584,19893,8088,11805,67.882
SP,SANTOS,70718,348128,126156,145874,99198,113693,32066,19718,14495,5223,56.199
MG,JUIZ DE FORA,47333,394932,121945,141651,167048,180954,23794,19706,13906,5800,43.908
RJ,NITERÓI,58653,411412,135810,155186,147370,162882,29111,19376,15512,3864,48.79
RJ,SÃO JOÃO DE MERITI,59013,340565,149764,168876,107385,112389,15750,19112,5004,14108,60.042
SP,MAUÁ,66893,310372,92196,111172,116755,126418,24238,18976,9663,9313,46.792
GO,ANÁPOLIS,92215,287893,134635,153507,59548,63960,16613,18872,4412,14460,70.589
SP,DIADEMA,63770,330977,84519,102841,144525,154387,23511,18322,9862,8460,39.98
SP,CARAPICUÍBA,63134,290539,85103,103403,110774,118877,22166,18300,8103,10197,46.519
MG,BETIM,41335,301232,105877,123818,106684,112360,17304,17941,5676,12265,52.426
SE,ARACAJU,31054,421507,124846,142489,176981,190875,31398,17643,13894,3749,42.743
PA,ANANINDEUA,4154,358350,121572,138978,126428,137406,27710,17406,10978,6428,50.284
RJ,BELFORD ROXO,58041,346353,137708,155071,97771,102528,13085,17363,4757,12606,60.199
BA,FEIRA DE SANTANA,35157,434575,107271,124354,211813,221406,20729,17083,9593,7490,35.965
MG,MONTES CLAROS,48658,283466,99858,116755,103694,111080,16315,16897,7386,9511,51.245
SP,BARUERI,62138,297548,93212,109971,94634,102713,22862,16759,8079,8680,51.706
SP,PIRACICABA,68756,310335,138959,155716,66884,73612,18317,16757,6728,10029,67.901
RO,PORTO VELHO,35,368740,152878,169299,92037,92636,20162,16421,599,15822,64.634
PR,SÃO JOSÉ DOS PINHAIS,78859,227220,95327,111043,52815,56655,14061,15716,3840,11876,66.216
SP,BAURU,62197,277515,110151,125569,72701,80145,18747,15418,7444,7974,61.041
RS,CANOAS,85898,252879,92790,108143,85130,88851,16953,15353,3721,11632,54.897
PR,CASCAVEL,74934,239326,110246,125392,58872,62049,12794,15146,3177,11969,66.897
SP,FRANCA,64254,241715,104625,119713,62126,67686,15820,15088,5560,9528,63.881
ES,VILA VELHA,57037,347208,147059,161933,97141,103870,20504,14874,6729,8145,60.922
PE,JABOATÃO DOS GUARARAPES,24570,498190,147345,161952,199245,204012,17796,14607,4767,9840,44.254
SP,TAUBATÉ,71838,239477,102993,117578,53433,59916,16890,14585,6483,8102,66.243
MG,UBERABA,54011,236439,84023,98568,78984,83899,13025,14545,4915,9630,54.02
ES,SERRA,56995,361299,125603,140048,119399,123629,18279,14445,4230,10215,53.113
SP,ITAQUAQUECETUBA,65633,258016,72868,87164,93775,99364,16192,14296,5589,8707,46.73
MG,RIBEIRÃO DAS NEVES,50911,218508,70704,84526,81560,86681,10974,13822,5121,8701,49.371
RS,PELOTAS,87912,243873,70445,83962,100306,107854,20270,13517,7548,5969,43.772
RJ,PETRÓPOLIS,58777,239484,97310,110803,59874,67181,16314,13493,7307,6186,62.254
SP,SUZANO,71510,235461,77397,90882,73864,79961,17446,13485,6097,7388,53.196
MG,SETE LAGOAS,53430,167287,65641,78922,51445,56124,11792,13281,4679,8602,58.441
PB,CAMPINA GRANDE,19810,304226,102633,115859,118874,124668,18023,13226,5794,7432,48.169
SP,TABOÃO DA SERRA,71579,211998,57614,70456,90000,99036,18371,12842,9036,3806,41.569
ES,VITÓRIA,57053,266238,102641,115293,89301,95478,18022,12652,6177,6475,54.701
RJ,CAMPOS DOS GOYTACAZES,58190,370249,159381,171999,93871,100427,18637,12618,6556,6062,63.136
SP,LIMEIRA,66397,219193,116868,129373,42807,46753,11910,12505,3946,8559,73.455
RS,GRAVATAÍ,86835,192110,75004,87219,55463,57730,12546,12215,2267,9948,60.172
SC,SÃO JOSÉ,83275,194702,81511,93707,50433,54634,12106,12196,4201,7995,63.17
SP,SÃO VICENTE,71218,255921,90072,102155,81780,86702,16701,12083,4922,7161,54.091
SP,EMBU DAS ARTES,64017,206368,53933,66009,83277,88298,14759,12076,5021,7055,42.778
ES,CARIACICA,56251,274227,104677,116698,88152,90253,13608,12021,2101,9920,56.389
SP,PRAIA GRANDE,69213,264222,93188,105028,69296,75180,16221,11840,5884,5956,58.282
SP,INDAIATUBA,65110,191807,80147,91937,45933,51345,14377,11790,5412,6378,64.165
SP,GUARUJÁ,64750,238508,87911,99610,72573,76431,15493,11699,3858,7841,56.583
AC,RIO BRANCO,1392,270429,130393,142090,53560,53873,17400,11697,313,11384,72.509
CE,CAUCAIA,13730,249363,63209,74827,114030,121053,15753,11618,7023,4595,38.2
SP,COTIA,63614,193991,57580,69121,65283,71547,16383,11541,6264,5277,49.138
AP,MACAPÁ,6050,321670,113733,125261,101129,102810,28952,11528,1681,9847,54.922
SP,JACAREÍ,65897,171299,71611,83006,44402,49573,13842,11395,5171,6224,62.609
PR,COLOMBO,75132,161867,64155,75459,45132,47913,10213,11304,2781,8523,61.164
RS,SANTA MARIA,88412,206356,72215,83340,72821,76044,13040,11125,3223,7902,52.289
RS,NOVO HAMBURGO,87718,174041,84976,95799,42801,44134,9716,10823,1333,9490,68.461
MG,SANTA LUZIA,51551,164463,57627,68438,59518,63793,10039,10811,4275,6536,51.756
MG,DIVINÓPOLIS,44458,171366,65668,76341,56562,60868,9670,10673,4306,6367,55.638
SP,SÃO CAETANO DO SUL,70777,147740,57617,68152,38172,45297,16098,10535,7125,3410,60.073
MG,GOVERNADOR VALADARES,45535,193356,84540,94975,53339,56237,7223,10435,2898,7537,62.809
SP,AMERICANA,61310,180965,82517,92771,40614,45165,12237,10254,4551,5703,67.257
BA,VITÓRIA DA CONQUISTA,39659,264101,73828,84019,111892,117516,13903,10191,5624,4567,41.69
SP,SUMARÉ,71498,199749,75666,85776,60453,63899,10421,10110,3446,6664,57.308
SP,SÃO CARLOS,70793,195907,63581,73647,60894,68042,14482,10066,7148,2918,51.978
RJ,VOLTA REDONDA,59250,221991,81346,91375,76843,81419,12364,10029,4576,5453,52.881
SP,MARÍLIA,66818,172571,83212,93172,37724,41031,9964,9960,3307,6653,69.426
PA,SANTARÉM,5355,253167,92736,102608,78380,82030,15010,9872,3650,6222,55.573
SC,CRICIÚMA,80896,153673,75743,85502,31462,33200,7941,9759,1738,8021,72.031
SC,ITAJAÍ,81612,182136,87882,97531,33917,36138,8382,9649,2221,7428,72.965
MG,IPATINGA,46256,176500,79427,89030,45297,47691,7390,9603,2394,7209,65.118
PE,OLINDA,24910,301760,91876,101401,140857,144847,12578,9525,3990,5535,41.178
SC,PALHOÇA,82333,153845,63393,72870,35455,38048,8433,9477,2593,6884,65.697
SP,ARARAQUARA,61638,169892,55772,65076,59994,66381,12253,9304,6387,2917,49.504
SP,RIO CLARO,69795,151028,69596,78720,33920,37670,9989,9124,3750,5374,67.635
SP,ITAPEVI,65510,168564,44409,53526,65327,68686,11332,9117,3359,5758,43.798
PR,FOZ DO IGUAÇU,75639,206966,95147,104235,50745,53259,8837,9088,2514,6574,66.183
SC,CHAPECÓ,80810,163655,72582,81666,46992,48271,6758,9084,1279,7805,62.85
RS,SÃO LEOPOLDO,88773,162669,61965,71028,54968,55941,8846,9063,973,8090,55.941
SC,LAGES,81833,125050,56928,65883,30942,32531,7334,8955,1589,7366,66.945
SP,PRESIDENTE PRUDENTE,69299,165357,80615,89544,38227,42130,9526,8929,3903,5026,68.004
SP,SANTA BÁRBARA D OESTE,70173,0,64676,73567,34471,37322,9307,8891,2851,6040,66.343
GO,RIO VERDE,95710,152767,60502,69385,41013,42715,6157,8883,1702,7181,61.896
RN,MOSSORÓ,17590,187535,46378,55207,88081,95281,9154,8829,7200,1629,36.685
RS,PASSO FUNDO,87858,149378,58099,66922,49826,51070,8517,8823,1244,7579,56.717
MT,VÁRZEA GRANDE,91677,194796,75663,84427,57411,59268,7955,8764,1857,6907,58.754
RR,BOA VISTA,3018,241187,136176,144799,36022,37412,14366,8623,1390,7233,79.468
MG,PATOS DE MINAS,49590,116413,47758,56293,28983,30612,6315,8535,1629,6906,64.775
MA,IMPERATRIZ,8036,194926,70830,79356,62170,65476,9699,8526,3306,5220,54.792
SP,HORTOLÂNDIA,61727,164245,60988,69513,54556,57692,8902,8525,3136,5389,54.646
PR,GUARAPUAVA,75833,133678,48657,57176,47123,48299,6636,8519,1176,7343,54.208
MS,DOURADOS,90735,166157,72596,81016,46493,47910,9555,8420,1417,7003,62.839
RS,VIAMÃO,89630,161684,49022,57395,64225,65948,9633,8373,1723,6650,46.533
SC,JARAGUÁ DO SUL,81752,130874,71810,80164,22389,23843,5908,8354,1454,6900,77.076
SP,BRAGANÇA PAULISTA,62510,130993,58530,66832,29419,33003,9753,8302,3584,4718,66.942
CE,MARACANAÚ,15857,179318,48379,56677,82217,87588,11142,8298,5371,2927,39.287
RJ,NOVA FRIBURGO,58670,155264,60118,68371,41896,46661,9453,8253,4765,3488,59.437
MT,RONDONÓPOLIS,91510,177315,74582,82752,43158,44812,6042,8170,1654,6516,64.871
SP,ARAÇATUBA,61557,144856,71740,79700,32370,35393,8670,7960,3023,4937,69.248
MG,IBIRITÉ,45950,122314,41359,49261,46074,48879,6776,7902,2805,5097,50.195
GO,LUZIÂNIA,94455,136507,51797,59686,36599,39256,6540,7889,2657,5232,60.324
RJ,MAGÉ,58491,193000,81901,89784,57530,59832,7990,7883,2302,5581,60.01
PE,CARUARU,23817,254240,75159,83013,109406,113187,9435,7854,3781,4073,42.31
RS,ALVORADA,85111,136053,44110,51956,50281,51231,8274,7846,950,6896,50.351
BA,CAMAÇARI,34134,210377,41549,49304,96759,101063,9081,7755,4304,3451,32.789
TO,PALMAS,73440,218529,88034,95715,61252,62961,10405,7681,1709,5972,60.321
PR,ARAUCÁRIA,74357,111928,37999,45633,35403,37349,7095,7634,1946,5688,54.991
SP,ATIBAIA,61816,118786,48671,56255,28168,32014,9442,7584,3846,3738,63.731
CE,SOBRAL,15598,152787,29665,37230,66697,82974,23030,7565,16277,-8712,30.972
SP,SANTANA DE PARNAÍBA,70475,111522,34978,42530,31423,35047,10624,7552,3624,3928,54.823
SP,PINDAMONHANGABA,68616,119023,50638,57969,29521,32659,8520,7331,3138,4193,63.964
PE,PAULISTA,25135,237143,70659,77951,105562,108875,9512,7292,3313,3979,41.724
SP,FERRAZ DE VASCONCELOS,64157,128954,37178,44398,52030,55271,9498,7220,3241,3979,44.545
RJ,TERESÓPOLIS,59153,133427,59100,66230,27703,31265,7286,7130,3562,3568,67.932
MG,POUSO ALEGRE,50490,112018,43132,50221,31617,34169,6858,7089,2552,4537,59.511
MG,VARGINHA,54135,104307,41672,48730,28811,31831,6937,7058,3020,4038,60.488
SP,ITU,65790,128489,53081,60031,30597,33624,8532,6950,3027,3923,64.098
PE,PETROLINA,25216,248232,52261,59182,120083,123571,9360,6921,3488,3433,32.384
RN,PARNAMIRIM,17795,147021,53530,60389,48084,52136,7432,6859,4052,2807,53.667
MG,POÇOS DE CALDAS,50350,122487,45269,52121,34095,37183,7194,6852,3088,3764,58.364
SP,FRANCISCO MORATO,64270,126758,31939,38789,55240,57575,7004,6850,2335,4515,40.253
SP,ITAPECERICA DA SERRA,65455,124100,32388,39226,49701,53188,8712,6838,3487,3351,42.446
RJ,ITABORAÍ,58378,177915,70172,76938,53532,55866,7451,6766,2334,4432,57.933
MT,SINOP,89850,126309,58474,65216,18557,19540,3118,6742,983,5759,76.946
PR,CAMPO LARGO,74810,94928,40538,47247,23731,25316,5736,6709,1585,5124,65.112
SP,ITAPETININGA,65471,114292,51589,58297,25764,28371,7385,6708,2607,4101,67.265
PA,MARABÁ,4839,179484,68387,74985,62464,63908,7799,6598,1444,5154,53.988
PR,PINHAIS,75043,99375,40134,46689,25849,27925,6933,6555,2076,4479,62.574
SP,BOTUCATU,62499,110576,41008,47560,30302,33816,9000,6552,3514,3038,58.445
RS,SANTA CRUZ DO SUL,88390,105104,43348,49867,32029,33040,6519,6519,1011,5508,60.148
RS,RIO GRANDE,88153,150039,33485,39996,68808,72258,9900,6511,3450,3061,35.63
PR,APUCARANA,74250,94373,45398,51894,20168,21614,5372,6496,1446,5050,70.596
PR,PARANAGUÁ,77453,108302,48442,54905,26605,28097,6677,6463,1492,4971,66.149
PA,PARAUAPEBAS,5835,200993,77396,83810,54645,56389,7259,6414,1744,4670,59.779
RJ,BARRA MANSA,58076,133836,49812,56219,44825,47486,7188,6407,2661,3746,54.211
RJ,MACAÉ,58475,185802,62716,69114,54503,58014,8433,6398,3511,2887,54.366
SP,ARARAS,61654,96755,45688,52074,21530,24138,6823,6386,2608,3778,68.328
MG,SABARÁ,51330,94469,30855,37228,35019,38119,6102,6373,3100,3273,49.409
RS,CACHOEIRINHA,85618,102528,39912,46256,31104,32734,6765,6344,1630,4714,58.559
ES,CACHOEIRO DE ITAPEMIRIM,56235,134138,69008,75317,31960,33202,6236,6309,1242,5067,69.404
BA,LAURO DE FREITAS,36854,162995,34005,40270,74506,79443,7626,6265,4937,1328,33.639
SC,BRUSQUE,80551,101340,55740,61992,15961,16877,3886,6252,916,5336,78.601
AL,ARAPIRACA,27057,158710,48456,54674,59431,61009,7835,6218,1578,4640,47.262
RJ,CABO FRIO,58130,178511,75184,81373,37586,40668,7584,6189,3082,3107,66.677
PA,CASTANHAL,4472,143786,52329,58469,49819,53437,9424,6140,3618,2522,52.248
SP,VALINHOS,72257,94825,40503,46594,22190,25699,7498,6091,3509,2582,64.452
PR,TOLEDO,79278,107712,52366,58445,24725,26548,5171,6079,1823,4256,68.764
SP,MOGI GUAÇU,67156,113851,56927,62945,23998,26506,6505,6018,2508,3510,70.368
GO,ÁGUAS LINDAS DE GOIÁS,93343,125062,38972,44946,38149,40369,5634,5974,2220,3754,52.682
CE,JUAZEIRO DO NORTE,14478,199570,29937,35858,109039,115524,10465,5921,6485,-564,23.687
BA,ITABUNA,35971,141218,46949,52768,56676,59332,8418,5819,2656,3163,47.072
SC,BALNEÁRIO CAMBORIÚ,80390,109400,55235,61035,19270,20811,4842,5800,1541,4259,74.573
MG,ARAXÁ,40797,82041,28179,33959,25864,27117,4648,5780,1253,4527,55.601
SP,SALTO,70050,95435,39008,44746,25788,28325,6537,5738,2537,3201,61.236
PR,FAZENDA RIO GRANDE,74322,94128,32547,38273,24054,25351,4805,5726,1297,4429,60.155
MG,ITABIRA,46337,88596,27203,32928,35025,38302,6635,5725,3277,2448,46.228
RS,BENTO GONÇALVES,85413,92233,50265,55971,17140,17873,4372,5706,733,4973,75.796
SP,RIBEIRÃO PIRES,69671,85875,28959,34652,29374,32866,7864,5693,3492,2201,51.323
RJ,MESQUITA,58467,136458,58124,63809,38687,39663,6166,5685,976,4709,61.668
GO,TRINDADE,96253,95994,33572,39215,27687,29519,5277,5643,1832,3811,57.053
SC,TUBARÃO,83674,82316,42138,47779,14914,15985,4291,5641,1071,4570,74.931
SP,ITATIBA,65692,85255,37409,43044,19338,21593,6531,5635,2255,3380,66.593
SP,JAÚ,66079,98925,51027,56644,19992,22163,5716,5617,2171,3446,71.877
SP,FRANCO DA ROCHA,64297,107782,29718,35285,40231,42174,5988,5567,1943,3624,45.553
MG,PARÁ DE MINAS,49417,67710,27692,33252,16698,18210,4170,5560,1512,4048,64.615
SP,TATUÍ,71811,88879,38110,43669,19602,21423,5378,5559,1821,3738,67.088
RS,SAPUCAIA DO SUL,89010,102426,32944,38501,39368,40310,5730,5557,942,4615,48.852
SP,GUARATINGUETÁ,64696,91052,41721,47275,22274,25075,7102,5554,2801,2753,65.342
SP,POÁ,68977,89977,30920,36451,31644,34621,7575,5531,2977,2554,51.287
MG,CONSELHEIRO LAFAIETE,43656,94413,27796,33282,40769,44178,6568,5486,3409,2077,42.967
MG,VESPASIANO,54259,87725,30471,35946,31416,33067,4516,5475,1651,3824,52.086
PR,ARAPONGAS,74276,84552,45033,50404,14401,15853,3905,5371,1452,3919,76.073
MG,ITAÚNA,46752,70901,31636,36985,17554,18682,4032,5349,1128,4221,66.44
MG,ARAGUARI,40690,90399,36783,42103,24703,26117,4383,5320,1414,3906,61.717
ES,LINHARES,56634,122398,47927,53237,32158,33128,5234,5310,970,4340,61.642
MG,ITAJUBÁ,46477,68568,31321,36611,17695,19299,4158,5290,1604,3686,65.482
RJ,RESENDE,58831,98308,39464,44732,25588,27584,5728,5268,1996,3272,61.856
PR,CAMBÉ,74713,76215,35256,40519,16512,18016,4627,5263,1504,3759,69.222
MG,BARBACENA,41114,99788,28281,33503,40846,43750,5072,5222,2904,2318,43.368
RJ,ANGRA DOS REIS,58017,136809,60443,65638,31926,32899,4688,5195,973,4222,66.613
SP,SERTÃOZINHO,71358,93444,35479,40647,29007,30990,5484,5168,1983,3185,56.74
RJ,MARICÁ,58530,185549,52811,57955,50619,54061,6157,5144,3442,1702,51.738
PR,ALMIRANTE TAMANDARÉ,74071,77774,28400,33534,23050,24504,4775,5134,1454,3680,57.779
RJ,NILÓPOLIS,58637,128805,55143,60276,38004,39207,6236,5133,1203,3930,60.589
SP,BIRIGUI,62294,84653,44050,49166,16638,17980,3844,5116,1342,3774,73.223
SC,SÃO BENTO DO SUL,83119,63935,34075,39161,10517,11312,3546,5086,795,4291,77.588
SP,BARRETOS,62090,85354,35299,40384,22049,23921,4928,5085,1872,3213,62.801
SP,VOTORANTIM,72435,92559,37026,42096,25473,27170,5310,5070,1697,3373,60.774
MG,NOVA LIMA,48950,77243,24108,29146,27956,30489,5656,5038,2533,2505,48.874
SP,CATANDUVA,63231,86345,41207,46210,18919,20301,4663,5003,1382,3621,69.477
MG,PATROCÍNIO,49611,65744,27014,31972,19008,20332,3274,4958,1324,3634,61.127
GO,ITUMBIARA,94250,75059,28583,33470,21519,23248,3762,4887,1729,3158,59.011
SP,JANDIRA,66010,76093,25078,29948,28770,30942,6033,4870,2172,2698,49.184
SP,VÁRZEA PAULISTA,72338,84770,32646,37506,25023,26370,5156,4860,1347,3513,58.717
ES,COLATINA,56294,87212,39373,44230,24057,25376,4897,4857,1319,3538,63.543
MG,LAVRAS,47635,75844,24450,29296,25243,27564,4645,4846,2321,2525,51.523
RS,ERECHIM,86371,79347,38094,42893,20727,21164,4086,4799,437,4362,66.961
PR,UMUARAMA,79359,83194,40972,45768,16880,18102,3770,4796,1222,3574,71.658
MG,SÃO JOÃO DEL REI,52493,70398,24050,28797,23944,26233,4548,4747,2289,2458,52.33
GO,VALPARAÍSO DE GOIÁS,93300,99348,35135,39822,28979,31177,5191,4687,2198,2489,56.088
SP,PAULÍNIA,68314,90086,33587,38254,23899,26362,5902,4667,2463,2204,59.202
TO,ARAGUAÍNA,92410,124026,47803,52404,36261,37591,5573,4601,1330,3271,58.23
PR,PIRAQUARA,77690,73970,25897,30480,22023,22971,4050,4583,948,3635,57.024
PR,SARANDI,84611,72063,25022,29538,21425,22685,3887,4516,1260,3256,56.561
SP,IBIÚNA,64955,62046,25646,30098,13710,15182,4608,4452,1472,2980,66.471
MG,TEÓFILO OTONI,53716,106606,33233,37683,35724,37952,3668,4450,2228,2222,49.822
RJ,QUEIMADOS,58122,104657,41093,45518,30421,31766,4580,4425,1345,3080,58.897
BA,ILHÉUS,35734,129773,34109,38528,57891,60653,7011,4419,2762,1657,38.846
SP,CAÇAPAVA,62715,72700,32466,36878,16688,18741,5367,4412,2053,2359,66.305
RJ,ARARUAMA,58033,110878,46791,51201,23067,24357,4944,4410,1290,3120,67.764
GO,CATALÃO,93017,75553,24380,28789,27130,28698,3589,4409,1568,2841,50.079
BA,JUAZEIRO,36692,164783,37379,41773,82560,84872,5684,4394,2312,2082,32.984
MG,PASSOS,49573,81257,27878,32256,26594,28437,3908,4378,1843,2535,53.146
PR,CASTRO,74950,56055,23547,27913,14885,15415,3448,4366,530,3836,64.423
MG,FORMIGA,45217,54601,21644,26008,14754,15808,3535,4364,1054,3310,62.196
SP,ARUJÁ,61778,71429,26313,30665,21271,22847,5179,4352,1576,2776,57.305
GO,FORMOSA,93610,77904,29070,33414,23315,24698,3834,4344,1383,2961,57.499
SP,CARAGUATATUBA,63118,105591,40760,45092,28924,30819,5931,4332,1895,2437,59.401
SE,NOSSA SENHORA DO SOCORRO,31950,123714,33447,37770,49785,52191,6998,4323,2406,1917,41.985
PR,CAMPO MOURÃO,74837,70464,29544,33849,19738,21035,4056,4305,1297,3008,61.674
GO,SENADOR CANEDO,92703,95328,31208,35464,27475,29087,4654,4256,1612,2644,54.94
SP,CAIEIRAS,62812,72330,23497,27747,24029,26161,5384,4250,2132,2118,51.471
SP,CAJAMAR,62855,70106,21861,26060,23376,25152,5244,4199,1776,2423,50.887
RS,URUGUAIANA,89516,84823,34682,38880,21638,22803,4645,4198,1165,3033,63.032
MT,TANGARÁ DA SERRA,91855,70289,34774,38964,13286,14147,2693,4190,861,3329,73.363
SP,LEME,66354,72965,32298,36488,17762,19516,3932,4190,1754,2436,65.152
RS,BAGÉ,85316,88087,26272,30449,34767,35303,4789,4177,536,3641,46.309
GO,JATAÍ,94331,73748,29938,34099,19072,20173,3006,4161,1101,3060,62.83
RS,FARROUPILHA,86550,57165,30199,34359,11200,11728,3401,4160,528,3632,74.552
SP,CUBATÃO,63711,90437,29477,33610,34848,36581,5923,4133,1733,2400,47.884
RS,GUAÍBA,86851,74578,24498,28599,27380,28475,4655,4101,1095,3006,50.109
SP,OURINHOS,67954,76651,32696,36790,20772,22040,4267,4094,1268,2826,62.536
SP,VINHEDO,72370,65754,28569,32648,13899,16015,4937,4079,2116,1963,67.09
SC,CONCÓRDIA,80837,60536,29941,34006,13760,14216,2734,4065,456,3609,70.52
BA,ALAGOINHAS,33138,114319,22020,26077,56247,59147,5431,4057,2900,1157,30.598
MG,UNAÍ,54070,64317,24929,28970,17962,19267,2868,4041,1305,2736,60.058
MS,TRÊS LAGOAS,91650,88672,33397,37415,24636,25948,4822,4018,1312,2706,59.049
PR,PATO BRANCO,77518,64592,27249,31260,18968,19717,3559,4011,749,3262,61.322
SP,VOTUPORANGA,72451,69073,32545,36549,15581,17012,3772,4004,1431,2573,68.238
RO,JI-PARANÁ,51,98500,47429,51415,16470,16711,3401,3986,241,3745,75.47
MG,TRÊS CORAÇÕES,53856,56694,21646,25622,15554,17182,3826,3976,1628,2348,59.859
SP,MOGI MIRIM,67172,67759,32982,36952,13896,15611,4292,3970,1715,2255,70.3
PR,PARANAVAÍ,77496,64075,30000,33961,15299,16163,3357,3961,864,3097,67.754
SP,SÃO JOÃO DA BOA VISTA,70831,67282,30283,34240,16315,18222,4352,3957,1907,2050,65.266
SP,LORENA,66451,61282,27742,31671,15040,16788,4436,3929,1748,2181,65.356
SP,MATÃO,66877,63835,26555,30481,18195,19461,3732,3926,1266,2660,61.033
BA,BARREIRAS,33634,108158,30197,34122,47952,50058,3804,3925,2106,1819,40.535
MG,CORONEL FABRICIANO,43877,80072,31812,35727,24069,25144,3015,3915,1075,2840,58.693
BA,JEQUIÉ,36617,118983,27874,31782,55276,57735,4955,3908,2459,1449,35.504
RJ,ITAGUAÍ,58394,100479,41991,45882,24174,25434,4318,3891,1260,2631,64.336
RJ,RIO DAS OSTRAS,58203,107161,41639,45528,23471,25467,4361,3889,1996,1893,64.128
RS,CACHOEIRA DO SUL,85596,64654,24681,28555,18395,18957,4017,3874,562,3312,60.101
SP,SÃO ROQUE,71137,60397,21617,25488,17626,19790,5150,3871,2164,1707,56.292
MG,UBÁ,53970,71688,23297,27156,27196,28614,3208,3859,1418,2441,48.693
MG,JOÃO MONLEVADE,47236,61384,19501,23348,21601,22945,3500,3847,1344,2503,50.435
SP,ITAPEVA,65498,68623,29115,32952,18108,19273,3738,3837,1165,2672,63.096
