uf,municipio,codigo_tse,eleitores_2026,bolsonaro_1t,bolsonaro_2t,lula_1t,lula_2t,ciro_tebet_1t,ganho_bolsonaro,ganho_lula,ganho_liquido_direita,bolsonaro_2t_pct
MA,LAGOA DO MATO,7820,8295,720,799,4924,5252,134,79,328,-249,13.204
PB,MARCAÇÃO,19968,7926,770,849,4570,4669,171,79,99,-20,15.386
PI,AROEIRAS DO ITAIM,12734,4359,456,535,2633,2652,84,79,19,60,16.787
PI,PAU D ARCO DO PIAUÍ,12718,0,515,594,3297,3337,156,79,40,39,15.111
SP,SANTANA DA PONTE PENSA,70459,1933,628,707,449,491,79,79,42,37,59.015
BA,DÁRIO MEIRA,34991,8548,1099,1177,4307,4490,233,78,183,-105,20.769
MG,CÓRREGO NOVO,43990,3929,813,891,1657,1692,74,78,35,43,34.495
MG,NACIP RAYDAN,48836,2844,512,590,1119,1213,58,78,94,-16,32.723
MG,SIMÃO PEREIRA,53490,3148,930,1008,1337,1382,126,78,45,33,42.176
PB,BOA VENTURA,19437,5234,587,665,3060,3024,162,78,-36,114,18.027
PI,IPIRANGA DO PIAUÍ,10952,7765,597,675,5007,5159,186,78,152,-74,11.57
SP,DIRCE REIS,61123,1707,564,642,583,590,94,78,7,71,52.11
SP,MIRA ESTRELA,67016,2894,1021,1099,843,895,110,78,52,26,55.115
SP,SUZANÁPOLIS,61301,2989,908,986,1145,1184,138,78,39,39,45.438
TO,BOM JESUS DO TOCANTINS,73121,3687,1059,1137,1409,1393,85,78,-16,94,44.941
TO,SANDOLÂNDIA,73156,3573,1244,1322,1258,1222,104,78,-36,114,51.965
AM,UARINI,98493,9899,1859,1936,4335,4087,346,77,-248,325,32.143
MG,SANTANA DO GARAMBÉU,51730,2351,430,507,1208,1289,72,77,81,-4,28.229
PB,BARAÚNA,19305,4664,520,597,2743,2821,146,77,78,-1,17.466
PE,CALÇADO,23655,7911,647,724,5071,5190,197,77,119,-42,12.242
PR,PARANAPOEMA,77470,2105,615,692,990,1009,108,77,19,58,40.682
RS,GRAMADO DOS LOUREIROS,86762,2634,664,741,1044,1044,79,77,0,77,41.513
SE,MURIBECA,31852,7504,1371,1448,3936,3899,286,77,-37,114,27.081
SP,SANTA SALETE,62200,1841,852,929,425,427,75,77,2,75,68.51
TO,MONTE SANTO DO TOCANTINS,73563,2555,978,1055,824,801,86,77,-23,100,56.843
BA,GENTIO DO OURO,35254,9741,996,1072,6387,6496,215,76,109,-33,14.165
